;data;model;cleaning;layers;runtime;top_5
0;keywords;BERT;basic;1;94.03341674804688;{'t1': [('independent', 0.8901031906226977), ('members', 0.8667204283110381), ('internal', 0.8631403708630763), ('bonus', 0.8556476620509502), ('spirit', 0.8549894153913422)], 't2': [('##mun', 0.8355855822852892), ('compensation', 0.8243679680621165), ('com', 0.8147616869765124), ('independent', 0.8147446643849243), ('bonus', 0.8112898788282812)], 't3': [('internal', 0.8807424384180864), ('pension', 0.8756666835453027), ('##mun', 0.8668286637265239), ('independent', 0.8581339867122021), ('compensation', 0.848456049095464)], 't4': [('independent', 0.8577627901732902), ('times', 0.8536556548973113), ('spirit', 0.8416665407649142), ('##mun', 0.8411026350346189), ('bonus', 0.8386982778258509)], 't5': [('com', 0.8483541579797415), ('##mun', 0.8359536610548903), ('term', 0.8047116192366397), ('independent', 0.8019076042822038), ('internal', 0.7915109404652341)], 't6': [('com', 0.8775172039485574), ('##mun', 0.8514308033631971), ('independent', 0.8459743461762772), ('bonus', 0.8333005428747456), ('internal', 0.8304194337678182)], 't7': [('times', 0.8916282785016553), ('members', 0.8621231341842439), ('internal', 0.8502643185950217), ('com', 0.8424197933205912), ('independent', 0.8406148770332479)], 't8': [('com', 0.8595930239623105), ('times', 0.8352104114648397), ('##mun', 0.8211723372184954), ('term', 0.8042835296930206), ('internal', 0.7930333387816292)], 't9': [('##mun', 0.9026652249644271), ('spirit', 0.8946385130723717), ('approach', 0.8882127253966138), ('team', 0.869480679459053), ('dedicated', 0.8504441392009339)], 't10': [('approach', 0.8625383978578415), ('importance', 0.8197451020570294), ('transparency', 0.8154457722735132), ('improvement', 0.8120267276375464), ('better', 0.810242025161666)], 't11': [('members', 0.8683131842070946), ('##mun', 0.8682758879928263), ('com', 0.8657050054172086), ('times', 0.865702560378115), ('independent', 0.8514632497143534)]}
1;keywords;BERT;basic;2;83.4379358291626;{'t1': [('com', 0.8344645895203878), ('##mun', 0.8295084060208993), ('internal', 0.8250193631406553), ('independent', 0.8226907609030918), ('bonus', 0.8076464372549947)], 't2': [('##mun', 0.8534029384282587), ('com', 0.8012222886976369), ('compensation', 0.7970159222741414), ('bonus', 0.794244401544066), ('independent', 0.7900535822689947)], 't3': [('##mun', 0.8622216855127082), ('internal', 0.8255522421435992), ('com', 0.8184990345936339), ('pension', 0.8172874819212277), ('stable', 0.7946954229231814)], 't4': [('##mun', 0.8748409755703592), ('com', 0.8381628526783987), ('independent', 0.8171687703495947), ('times', 0.8016847799604676), ('internal', 0.7957420991994609)], 't5': [('##mun', 0.8420811721817189), ('com', 0.8187288633411212), ('term', 0.7904451395219126), ('independent', 0.744953252249941), ('internal', 0.7424083105359759)], 't6': [('com', 0.853173939694723), ('##mun', 0.8488225287189762), ('internal', 0.8123324467482043), ('independent', 0.8107825153092199), ('##cation', 0.7755582290620171)], 't7': [('##mun', 0.8358825759390075), ('com', 0.83450544094494), ('internal', 0.8165002903012148), ('times', 0.7995326476527453), ('members', 0.7823917938988307)], 't8': [('##mun', 0.8218245274088287), ('com', 0.8121280791771881), ('term', 0.7872553041615336), ('internal', 0.7582572502018325), ('times', 0.7378594250802453)], 't9': [('##mun', 0.9180666804250749), ('spirit', 0.8607555269821027), ('dedicated', 0.8283165214543943), ('years', 0.8112476627949725), ('##cation', 0.8111660587837258)], 't10': [('job', 0.7577212409581493), ('growth', 0.754025545660898), ('value', 0.7522910769170185), ('approach', 0.7509883502652266), ('transparency', 0.7491984311968543)], 't11': [('##mun', 0.859356376086034), ('com', 0.8288394342492909), ('internal', 0.7892727371534013), ('independent', 0.7852473655189097), ('members', 0.7820105688058411)]}
2;keywords;BERT;basic;3;83.85367107391357;{'t1': [('com', 0.8669403649646471), ('##mun', 0.8149291865699771), ('term', 0.7855311546630316), ('members', 0.7699372885130958), ('internal', 0.768663097265132)], 't2': [('com', 0.8208657824528571), ('##mun', 0.8095083185896679), ('term', 0.7401889312778323), ('independent', 0.7172984828850502), ('compensation', 0.7153363477091401)], 't3': [('##mun', 0.8297782972469666), ('com', 0.8286439087821071), ('pension', 0.7744116706202887), ('internal', 0.7726856136872382), ('stable', 0.7464059525336117)], 't4': [('com', 0.8459024433069785), ('##mun', 0.8438494404936292), ('times', 0.7600003597174531), ('term', 0.7530514532764944), ('independent', 0.7525241690796017)], 't5': [('com', 0.857630947142799), ('##mun', 0.8292135142499091), ('term', 0.770774310352051), ('social', 0.7201733419930805), ('pension', 0.7099850801151474)], 't6': [('com', 0.8812215579819209), ('##mun', 0.8290776922741641), ('internal', 0.7744265584091139), ('term', 0.7658111277367369), ('social', 0.7554343929887262)], 't7': [('com', 0.8492907442182691), ('##mun', 0.8302304544147765), ('term', 0.797837003741772), ('long', 0.7703369194599228), ('internal', 0.7546551599946357)], 't8': [('com', 0.8227847895073982), ('##mun', 0.7952326980790961), ('term', 0.7772272986282981), ('internal', 0.7244693739103764), ('long', 0.7089302799335109)], 't9': [('##mun', 0.8749516328175365), ('com', 0.818459948541673), ('dedicated', 0.7929332870093808), ('spirit', 0.7711055071881469), ('internal', 0.7581283873675293)], 't10': [('term', 0.7409790249317066), ('long', 0.7213052075353908), ('priority', 0.7113739891329319), ('value', 0.7098131224316024), ('growth', 0.7042568867836183)], 't11': [('##mun', 0.8264187904726286), ('com', 0.8164554706403089), ('members', 0.755303268669955), ('internal', 0.7336353692727922), ('times', 0.7335620063984996)]}
3;keywords;BERT;basic;4;83.52368807792664;{'t1': [('##mun', 0.8084791828778523), ('term', 0.7678679083646843), ('com', 0.7622610840548897), ('pension', 0.7021084259507044), ('social', 0.68699799148877)], 't2': [('##mun', 0.798966271875295), ('term', 0.7376314303505063), ('com', 0.7273682513840696), ('benefits', 0.6510980470325314), ('pension', 0.6441363049770059)], 't3': [('##mun', 0.8095730638544789), ('pension', 0.7343712505999622), ('term', 0.7238604733497667), ('com', 0.7162011871691862), ('social', 0.6983970117212137)], 't4': [('##mun', 0.8325688654583141), ('term', 0.759715456774998), ('com', 0.7488570073360438), ('long', 0.6870034805754841), ('team', 0.6700751507122091)], 't5': [('##mun', 0.8315387908903552), ('term', 0.7666750316715529), ('com', 0.7317591693522764), ('pension', 0.6738099171511656), ('social', 0.6560801268219287)], 't6': [('##mun', 0.8164115279157271), ('term', 0.7758722914123284), ('com', 0.7580807339822646), ('internal', 0.7018351685015183), ('social', 0.6994785949729627)], 't7': [('##mun', 0.8321087675491806), ('term', 0.8047523483479279), ('com', 0.7276326495022098), ('long', 0.7131606198095035), ('team', 0.6671624552877495)], 't8': [('##mun', 0.8010502444311949), ('term', 0.7619750463391777), ('com', 0.7039109446853979), ('long', 0.6742962584911283), ('pension', 0.6613322273845476)], 't9': [('##mun', 0.84697378661797), ('term', 0.7497944429875251), ('com', 0.7292915009347474), ('dedicated', 0.7194240736657573), ('spirit', 0.713563215770709)], 't10': [('term', 0.730068905588776), ('long', 0.6578219751306705), ('pension', 0.655551746591168), ('##mun', 0.6515704282850094), ('work', 0.6401250829582383)], 't11': [('##mun', 0.7938060813101017), ('com', 0.7220728375880241), ('members', 0.660486748451552), ('internal', 0.6577451250468519), ('pay', 0.651365375524898)]}
4;keywords;BERT;basic;5;83.37680506706238;{'t1': [('##mun', 0.7659616717545926), ('pension', 0.6850317548764446), ('com', 0.6564406001389332), ('spirit', 0.6386167394651365), ('social', 0.6363154829210714)], 't2': [('##mun', 0.7340656026722173), ('pension', 0.6366143697328741), ('benefits', 0.6313306389738673), ('com', 0.6299956501715649), ('term', 0.6003694514146232)], 't3': [('##mun', 0.757939623592897), ('pension', 0.6888885378837726), ('social', 0.658993167708363), ('term', 0.6226616380402945), ('work', 0.619586933493468)], 't4': [('##mun', 0.7712811118929387), ('com', 0.6502740999269385), ('term', 0.6223444131156561), ('pension', 0.6149373505727358), ('spirit', 0.6066639830442292)], 't5': [('##mun', 0.7737389968450953), ('pension', 0.6660597156071004), ('term', 0.6455698486963846), ('com', 0.6240798578349178), ('benefits', 0.6169407913047773)], 't6': [('##mun', 0.7716480995718923), ('pension', 0.6721930767618092), ('com', 0.6501501724292313), ('term', 0.6471523580907252), ('social', 0.6425197413900985)], 't7': [('##mun', 0.7751545593525393), ('term', 0.6653505393099277), ('com', 0.6358941191213477), ('pension', 0.6303083879364463), ('benefits', 0.6215350112118754)], 't8': [('##mun', 0.7743482945226419), ('term', 0.6490184548976192), ('pension', 0.6382225892615072), ('com', 0.5997171666892125), ('social', 0.5922423493452733)], 't9': [('##mun', 0.7934068522691958), ('spirit', 0.6826785456807645), ('term', 0.6425078666131117), ('com', 0.6297513229205841), ('internal', 0.6209828695299672)], 't10': [('pension', 0.6345723133555523), ('term', 0.624359212431693), ('##mun', 0.5947070026604353), ('work', 0.5909651437587233), ('transparency', 0.5710973989769472)], 't11': [('##mun', 0.735936216350388), ('pension', 0.6178856665144198), ('benefits', 0.6062461717864798), ('social', 0.6039199025964632), ('com', 0.5982057726066154)]}
5;keywords;BERT;basic;6;83.42396569252014;{'t1': [('##mun', 0.761328596016399), ('pension', 0.6693977468326582), ('term', 0.6456801384260656), ('social', 0.6339348890303427), ('com', 0.6109329283865457)], 't2': [('##mun', 0.7237084449473967), ('pension', 0.6265740979249892), ('benefits', 0.6197895168965464), ('term', 0.5981233060507267), ('social', 0.5792942473186771)], 't3': [('##mun', 0.7534653539134212), ('pension', 0.664522328792533), ('social', 0.6509521716702401), ('term', 0.6287483582790518), ('work', 0.5984755906376249)], 't4': [('##mun', 0.7653552670516708), ('term', 0.6229934649118707), ('social', 0.610611834831024), ('spirit', 0.6070519066129878), ('com', 0.6062684279082151)], 't5': [('##mun', 0.7614210057918781), ('pension', 0.6317627650083317), ('term', 0.6196289606751044), ('benefits', 0.5920668139062977), ('social', 0.5909433143032776)], 't6': [('##mun', 0.7629928343947211), ('pension', 0.6533843016632533), ('social', 0.6428719658346831), ('term', 0.6328603561040672), ('com', 0.5986635749070169)], 't7': [('##mun', 0.7595932699721732), ('term', 0.660239765986142), ('social', 0.6219369629623737), ('long', 0.6154527143455113), ('benefits', 0.6152174097694665)], 't8': [('##mun', 0.7618651084003758), ('term', 0.644817775476368), ('pension', 0.6357525122335232), ('benefits', 0.5979509404159837), ('social', 0.5897310967324745)], 't9': [('##mun', 0.7798524340444195), ('spirit', 0.6562103522040955), ('term', 0.6302285253815414), ('internal', 0.6091479974016014), ('planning', 0.6087535477583195)], 't10': [('pension', 0.6133641155391716), ('term', 0.6069627270411024), ('##mun', 0.5973664406125954), ('work', 0.5626221503657808), ('social', 0.5599309199858127)], 't11': [('##mun', 0.7235265227941373), ('social', 0.604055303458946), ('pension', 0.6024776726762595), ('benefits', 0.5984052875562267), ('pay', 0.5649463322387808)]}
6;keywords;BERT;basic;7;83.42301511764526;{'t1': [('##mun', 0.7648691609945186), ('pension', 0.6920203075848496), ('term', 0.6631226139191466), ('social', 0.6251808575527992), ('package', 0.6170681327160238)], 't2': [('##mun', 0.7178768031730558), ('pension', 0.6564068180804753), ('benefits', 0.6031459849416574), ('pay', 0.592554530302177), ('social', 0.5788651481862847)], 't3': [('##mun', 0.7532759025026172), ('pension', 0.6726212423435971), ('social', 0.6397186690654151), ('term', 0.5988139003252652), ('pay', 0.5980978290183355)], 't4': [('##mun', 0.7659810837046449), ('pension', 0.6292048374692458), ('spirit', 0.6151880593544219), ('term', 0.6120291697770839), ('social', 0.6069193751317796)], 't5': [('##mun', 0.769524536342036), ('pension', 0.6544556755951156), ('term', 0.6066540030603755), ('pay', 0.5772430942114225), ('social', 0.5739198642704201)], 't6': [('##mun', 0.773531707383746), ('pension', 0.6690166729041598), ('social', 0.627357159501903), ('term', 0.6235200994252669), ('spirit', 0.5744017172722979)], 't7': [('##mun', 0.7693772546487142), ('term', 0.6493046887976749), ('pension', 0.6435971664346534), ('social', 0.6246529231229067), ('long', 0.6191185765399676)], 't8': [('##mun', 0.7695438429739321), ('pension', 0.6638911392292783), ('term', 0.6236996840255671), ('social', 0.5745316302599539), ('benefits', 0.566313726619398)], 't9': [('##mun', 0.7882321236917776), ('spirit', 0.644912513156952), ('years', 0.6346715103624849), ('term', 0.6098069848265922), ('times', 0.6087978964570997)], 't10': [('pension', 0.6273170855889572), ('term', 0.5843924528284494), ('##mun', 0.584280681139898), ('pay', 0.5707369250889592), ('job', 0.5545243625664852)], 't11': [('##mun', 0.7239363311842919), ('pension', 0.6353860775788357), ('pay', 0.6187439691494472), ('social', 0.6125899242928026), ('benefits', 0.5739843366254973)]}
7;keywords;BERT;basic;8;83.41910815238953;{'t1': [('##mun', 0.7408599860797673), ('pension', 0.7001701276765864), ('social', 0.6257078019082183), ('job', 0.5944608978319263), ('term', 0.5936105987855804)], 't2': [('pension', 0.6692695052556417), ('##mun', 0.6574948701357335), ('pay', 0.6263745295100984), ('benefits', 0.5876853797921845), ('social', 0.576236987943454)], 't3': [('##mun', 0.7282538075101165), ('pension', 0.6846000649647146), ('social', 0.6507719280347327), ('employer', 0.6352111684227063), ('pay', 0.5982885854083992)], 't4': [('##mun', 0.7262416119509825), ('pension', 0.633792368960665), ('social', 0.6071371209237549), ('-', 0.6034687435487505), ('spirit', 0.5833560826127988)], 't5': [('##mun', 0.7221617880169346), ('pension', 0.6745474504668141), ('pay', 0.5776261077353464), ('social', 0.5725370837086489), ('benefits', 0.551049055425014)], 't6': [('##mun', 0.7362222143144639), ('pension', 0.6811455655342387), ('social', 0.6155946498953505), ('pay', 0.5889446945163098), ('-', 0.5708415199652443)], 't7': [('##mun', 0.7279456289324773), ('pension', 0.663435744720274), ('pay', 0.6229569943196295), ('social', 0.6199050614747506), ('long', 0.5816893475931563)], 't8': [('##mun', 0.6986277213094951), ('pension', 0.6535907066406696), ('pay', 0.5652343151546748), ('social', 0.5535267283726792), ('term', 0.5515404799960288)], 't9': [('##mun', 0.7552559722596518), ('-', 0.612747514458626), ('spirit', 0.6061329153942702), ('years', 0.5923454605005651), ('times', 0.5919934697579485)], 't10': [('pension', 0.6452224940265521), ('pay', 0.577409343184398), ('job', 0.5714657692932514), ('social', 0.5647286493189665), ('##mun', 0.5392603531089714)], 't11': [('##mun', 0.6890449716072946), ('pension', 0.6401649493820949), ('pay', 0.6355026131351127), ('social', 0.6190864125385667), ('benefits', 0.5502756767924534)]}
8;keywords;BERT;basic;9;83.37692284584045;{'t1': [('##mun', 0.7620797036461175), ('pension', 0.6740063684269542), ('job', 0.617570866817086), ('social', 0.5997558837907437), ('employer', 0.5936072369114456)], 't2': [('##mun', 0.689884238074876), ('pension', 0.6254002436542402), ('pay', 0.6060454566503576), ('social', 0.5376048102265572), ('international', 0.5360760248035493)], 't3': [('##mun', 0.748149995191348), ('employer', 0.6709979433378042), ('pension', 0.6681659866563556), ('job', 0.6434621540767931), ('social', 0.6149495261235909)], 't4': [('##mun', 0.7438307574952916), ('pension', 0.601895318055085), ('pay', 0.5740532475930307), ('social', 0.5739585263234579), ('employer', 0.5461833280629171)], 't5': [('##mun', 0.7434294616776714), ('pension', 0.6470621178196642), ('pay', 0.5612981390941598), ('job', 0.5505618160900951), ('social', 0.5414715589091648)], 't6': [('##mun', 0.7677571585712906), ('pension', 0.6650481983595664), ('job', 0.6135521848119022), ('social', 0.6088227164544853), ('pay', 0.5824884572709175)], 't7': [('##mun', 0.754933526041035), ('pension', 0.6275704631807858), ('pay', 0.612372426266149), ('social', 0.5821715181267375), ('long', 0.5704876004702423)], 't8': [('##mun', 0.7345482527810775), ('pension', 0.6381818083209088), ('job', 0.5680940689503413), ('pay', 0.55697946165993), ('social', 0.5399903364958308)], 't9': [('##mun', 0.7721777121841528), ('spirit', 0.5878312110068968), ('team', 0.5789917543312897), ('location', 0.5694009332018078), ('long', 0.5658675881349227)], 't10': [('pension', 0.6309381223248148), ('job', 0.6125380253186123), ('##mun', 0.5792568735279513), ('employer', 0.568371642707636), ('pay', 0.5622447592792054)], 't11': [('##mun', 0.7066533497308201), ('pay', 0.6285594737181714), ('pension', 0.6170259526443174), ('social', 0.58985070454624), ('employer', 0.5656982985239816)]}
9;keywords;BERT;basic;10;83.33387660980225;{'t1': [('##mun', 0.7220959861233921), ('job', 0.6360867773035688), ('pension', 0.6292580590567893), ('social', 0.5767864339271038), ('employer', 0.5534572641494888)], 't2': [('##mun', 0.6251827914021124), ('pension', 0.5869554239942627), ('pay', 0.5639549387390592), ('job', 0.5206195073073967), ('team', 0.5054294362940617)], 't3': [('job', 0.6733865199491258), ('##mun', 0.6693625520740583), ('pension', 0.6386716341861496), ('employer', 0.623938941401215), ('social', 0.5788089001294496)], 't4': [('##mun', 0.6902872845888861), ('pension', 0.572582013472682), ('social', 0.5382497241833647), ('pay', 0.5374483967885346), ('team', 0.5326779170790584)], 't5': [('##mun', 0.6829727431880456), ('pension', 0.6057144855161778), ('job', 0.574991176811342), ('pay', 0.5487892899624016), ('social', 0.5286890192351441)], 't6': [('##mun', 0.7042044847781128), ('job', 0.6335728591598401), ('pension', 0.617339983797449), ('social', 0.5711291565401471), ('employer', 0.5620740317923532)], 't7': [('##mun', 0.7086330738139673), ('pension', 0.5883122161778013), ('pay', 0.5767410032397503), ('job', 0.5628786792614706), ('social', 0.5512855177651999)], 't8': [('##mun', 0.6778508901892812), ('pension', 0.6119455429104652), ('job', 0.5924496595662729), ('social', 0.5342525967064753), ('pay', 0.528619289124718)], 't9': [('##mun', 0.7268569034421057), ('team', 0.6219065795906551), ('spirit', 0.5844366585478189), ('long', 0.5276893376879974), ('planning', 0.5246530223470505)], 't10': [('job', 0.6868724887507498), ('pension', 0.6259393183132522), ('employer', 0.5634058820406591), ('social', 0.5577002594160586), ('pay', 0.5296651566911351)], 't11': [('##mun', 0.6470082540086984), ('job', 0.5863346815756112), ('pay', 0.5822391715203721), ('pension', 0.5723717113059565), ('social', 0.5488223310201337)]}
